"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 19, 2017","776.98","778.21","781.44","776.98","112.20K","-0.12%"
"Sep 18, 2017","777.94","776.26","779.64","774.66","113.22K","0.51%"
"Sep 15, 2017","774.00","771.15","774.30","769.86","103.03K","0.01%"
"Sep 14, 2017","773.89","771.92","776.78","771.92","101.11K","0.33%"
"Sep 13, 2017","771.38","769.41","771.55","768.11","95.84K","0.60%"
"Sep 12, 2017","766.76","761.92","767.15","760.73","94.85K","0.43%"
"Sep 11, 2017","763.50","769.32","772.51","763.50","101.45K","-0.74%"
"Sep 08, 2017","769.20","766.48","770.95","766.17","89.38K","0.51%"
"Sep 07, 2017","765.30","763.42","766.47","762.68","97.93K","0.27%"
"Sep 06, 2017","763.26","763.86","764.42","760.50","98.26K","-0.10%"
"Sep 05, 2017","764.04","763.25","765.84","760.16","111.92K","0.26%"
"Sep 01, 2017","762.08","759.16","762.59","758.78","87.99K","0.52%"
"Aug 31, 2017","758.17","755.46","760.52","754.62","136.46K","0.45%"
"Aug 30, 2017","754.80","747.85","754.80","747.27","144.22K","1.08%"
"Aug 29, 2017","746.70","748.90","750.41","746.47","201.62K","-0.32%"
"Aug 28, 2017","749.08","743.39","749.08","741.65","175.34K","0.84%"
"Aug 25, 2017","742.81","739.64","742.81","739.64","155.39K","0.39%"
"Aug 24, 2017","739.90","735.88","741.79","734.91","159.63K","0.57%"
"Aug 23, 2017","735.71","732.73","735.71","730.27","102.49K","0.55%"
"Aug 22, 2017","731.71","736.65","736.74","730.58","91.60K","-0.69%"
"Aug 21, 2017","736.78","737.14","738.75","735.90","97.61K","-0.09%"
"Aug 18, 2017","737.41","732.67","738.75","732.03","87.11K","0.13%"
"Aug 17, 2017","736.43","743.15","743.97","736.43","109.29K","-0.90%"
"Aug 16, 2017","743.15","740.77","743.15","736.84","96.06K","0.32%"
"Aug 15, 2017","740.75","746.37","746.38","739.83","83.34K","-0.63%"
"Aug 14, 2017","745.48","739.02","745.48","739.01","91.47K","0.83%"
"Aug 11, 2017","739.34","737.23","740.68","734.11","103.28K","0.16%"
"Aug 10, 2017","738.14","733.62","740.42","733.62","108.50K","0.13%"
"Aug 09, 2017","737.19","750.18","750.18","737.15","176.77K","-2.09%"
"Aug 08, 2017","752.89","759.51","759.51","752.18","137.19K","-0.72%"
"Aug 07, 2017","758.37","757.89","761.12","756.94","126.99K","0.17%"
"Aug 04, 2017","757.05","754.06","757.05","754.06","112.62K","0.41%"
"Aug 03, 2017","753.94","751.71","757.05","751.71","128.05K","0.29%"
"Aug 02, 2017","751.78","750.03","754.92","746.88","132.57K","-0.31%"
"Aug 01, 2017","754.12","752.80","755.50","752.77","140.77K","0.10%"
"Jul 31, 2017","753.39","747.79","753.39","746.67","188.06K","0.64%"
"Jul 28, 2017","748.63","742.65","748.63","742.03","113.36K","0.76%"
"Jul 27, 2017","742.97","743.86","746.34","741.78","129.35K","-0.24%"
"Jul 26, 2017","744.78","737.37","744.78","735.34","127.66K","1.27%"
"Jul 25, 2017","735.41","726.38","735.41","726.38","82.09K","1.04%"
"Jul 24, 2017","727.86","727.13","729.63","722.83","93.05K","-0.11%"
"Jul 21, 2017","728.69","736.68","738.76","728.69","101.22K","-1.02%"
"Jul 20, 2017","736.23","736.24","736.38","731.99","104.78K","-0.22%"
"Jul 19, 2017","737.82","742.93","743.62","737.82","126.44K","-0.19%"
"Jul 18, 2017","739.24","738.84","742.02","733.78","105.67K","-0.72%"
"Jul 17, 2017","744.63","755.95","756.29","740.63","147.14K","-1.61%"
"Jul 14, 2017","756.84","758.56","760.17","755.63","102.26K","-0.09%"
"Jul 13, 2017","757.53","756.10","757.53","752.95","108.40K","0.47%"
"Jul 12, 2017","754.02","751.84","754.62","747.90","99.89K","0.74%"
"Jul 11, 2017","748.47","745.05","748.47","738.89","113.53K","0.42%"
"Jul 10, 2017","745.33","756.67","756.67","743.19","130.28K","-1.47%"
"Jul 07, 2017","756.48","765.58","765.80","756.48","148.22K","-1.02%"
"Jul 06, 2017","764.30","763.55","765.56","762.64","127.72K","0.48%"
"Jul 05, 2017","760.65","759.09","760.65","756.27","120.85K","0.29%"
"Jul 04, 2017","758.44","760.66","761.30","755.59","114.74K","-0.28%"
"Jul 03, 2017","760.58","760.61","763.98","760.58","114.94K","0.02%"
"Jun 30, 2017","760.42","758.92","760.89","758.59","110.47K","0.51%"
"Jun 29, 2017","756.58","755.02","758.52","755.02","114.89K","0.50%"
"Jun 28, 2017","752.83","750.12","752.83","747.36","103.00K","0.31%"
"Jun 27, 2017","750.51","757.65","757.65","749.89","146.07K","-0.82%"
"Jun 26, 2017","756.71","755.71","758.24","754.33","145.68K","0.35%"
"Jun 23, 2017","754.04","751.92","754.55","748.16","132.60K","0.24%"
"Jun 22, 2017","752.25","752.51","754.50","751.06","114.99K","0.01%"
"Jun 21, 2017","752.16","750.16","752.16","742.77","127.15K","0.11%"
"Jun 20, 2017","751.34","751.64","753.04","749.17","104.89K","0.24%"
"Jun 19, 2017","749.57","745.55","749.57","745.45","115.60K","1.00%"
"Jun 16, 2017","742.12","742.58","742.65","740.20","143.61K","0.47%"
"Jun 15, 2017","738.68","738.17","741.30","736.40","109.36K","0.23%"
"Jun 14, 2017","737.00","736.92","739.74","735.68","111.85K","0.30%"
"Jun 13, 2017","734.83","730.88","734.83","728.95","96.81K","0.51%"
"Jun 12, 2017","731.12","733.57","735.02","729.53","107.28K","-0.29%"
"Jun 09, 2017","733.28","732.64","736.63","732.36","107.10K","0.17%"
"Jun 08, 2017","732.00","732.08","734.22","728.54","106.04K","0.06%"
"Jun 07, 2017","731.53","730.27","733.44","729.62","117.76K","0.56%"
"Jun 06, 2017","727.48","719.55","727.48","719.55","111.33K","1.22%"
"Jun 05, 2017","718.69","716.99","721.14","716.99","97.45K","0.30%"
"Jun 02, 2017","716.51","717.12","717.61","713.19","96.26K","-0.01%"
"Jun 01, 2017","716.55","711.07","716.55","711.07","86.31K","0.82%"
"May 31, 2017","710.75","710.22","716.32","707.11","116.45K","0.18%"
"May 30, 2017","709.47","720.30","720.97","709.47","161.02K","-1.47%"
"May 29, 2017","720.03","721.61","723.21","720.03","148.25K","0.27%"
"May 26, 2017","718.10","715.75","718.29","715.50","111.05K","0.39%"
"May 25, 2017","715.34","715.59","719.90","714.59","130.46K","-0.00%"
"May 24, 2017","715.37","709.06","716.36","709.00","138.84K","1.20%"
"May 23, 2017","706.92","709.95","711.54","706.39","198.24K","-0.31%"
"May 22, 2017","709.14","706.94","713.77","706.94","165.95K","0.92%"
"May 19, 2017","702.70","697.99","702.86","697.45","143.59K","0.82%"
"May 18, 2017","696.97","695.73","702.37","695.64","147.31K","-0.18%"
"May 17, 2017","698.25","694.61","698.69","692.36","127.68K","0.53%"
"May 16, 2017","694.60","698.31","700.00","694.60","186.49K","-0.35%"
"May 15, 2017","697.01","692.35","698.02","692.35","150.26K","0.75%"
"May 12, 2017","691.83","691.17","693.82","691.12","107.29K","0.15%"
"May 11, 2017","690.76","691.71","692.57","689.70","113.44K","0.05%"
"May 10, 2017","690.39","689.44","695.42","689.44","134.18K","0.24%"
"May 09, 2017","688.75","681.81","688.75","681.81","146.43K","0.99%"
"May 08, 2017","682.02","682.78","684.09","680.88","133.44K","-0.10%"
"May 05, 2017","682.71","682.52","684.37","682.23","123.65K","-0.02%"
"May 04, 2017","682.84","681.21","685.30","680.38","137.52K","0.23%"
"May 03, 2017","681.29","678.34","681.29","677.56","115.18K","0.55%"
"Apr 28, 2017","677.53","675.68","679.35","674.10","123.15K","-0.06%"
"Apr 27, 2017","677.92","670.95","678.26","670.95","119.15K","1.07%"
"Apr 26, 2017","670.75","666.48","670.75","666.27","89.25K","0.74%"
"Apr 25, 2017","665.85","665.10","667.20","663.49","72.00K","0.22%"
"Apr 24, 2017","664.37","667.77","669.09","664.37","80.72K","-0.63%"
